	A091170	A091180	A099140	A102970	A132030	A133690	A139220	A139230	A139260	A139280	A139290	A143860	A147970	A148070	A157490	A182480	A185680	A195970	A195980	A200030	A203780	A218420	A227550	A228790	A228800	A232080	A245710	A251350	A256440	A266410	A273130	A276000	A276970	A276990	A278530	A280930	A283580	A294400	A304660	A304940	A305080	A305540	A305720	A308620	A309230	A329200	A329750	A332620	A352560	A357870	A360750	A371160	A371470	A379800	A379810	A385510	A385560	A390390	A394660	A394670	A396500	A396510	A399580	A402970	A409810	A411060	A414270	A414780	A418670	A419420	A419430	A426020	A426030	A430500	A434060	A437080	A438330	A446720	A446770	A448290	A448300	A449450	A452360	A453630	A453640	A453650	A453660	A453850	A453870	A455030	A455660	A455890	A456610	A456880	A458730	A458760	A459580	A461490	A463640	A463680	A463690	A464470	A464930	A468370	A468380	A473330	A474220	A476760	A477080
2022-08-31	5173.0	17321.0	15364.0	5316.0	11438.0	73113.0	2708.0	3305.0	27605.0	9004.0	14239.0	29704.0	21555.0	96388.0	10099.0	11697.0	24275.0	9746.0	9486.0	21990.0	19014.0	12670.0	6177.0	2190.0	4050.0	11562.0	21364.0	19563.0	10834.0	6741.0	99476.0	15347.0	7488.0	15150.0	10770.0	12022.0	12241.0	39350.0	9655.0	15513.0	12156.0	19818.0	19848.0	11830.0	17876.0	4291.0	10811.0	89328.0	11617.0	51081.0	12921.0	6273.0	7859.0	11776.0	10907.0	11875.0	61805.0	9784.0	10390.0	11279.0	7026.0	9980.0	10808.0	9490.0	12290.0	10685.0	10062.0	8130.0	11025.0	11375.0	10320.0	10520.0	10610.0	97306.0	10077.0	94142.0	97565.0																																
2022-09-30	4569.0	15098.0	14191.0	4527.0	11045.0	70446.0	2308.0	2689.0	23973.0	8335.0	12768.0	25613.0	19196.0	93817.0	8435.0	9965.0	24410.0	8647.0	8256.0	21090.0	19713.0	12055.0	5229.0	1876.0	3601.0	9659.0	19863.0	18832.0	11541.0	6334.0	97367.0	13749.0	6789.0	14125.0	9435.0	10780.0	11825.0	34285.0	8930.0	13945.0	12449.0	16141.0	16821.0	12112.0	17222.0	3990.0	11571.0	85736.0	9871.0	51191.0	12579.0	5394.0	7174.0	11455.0	10500.0	9994.0	57633.0	9034.0	9528.0	10694.0	6084.0	9610.0	9867.0	9389.0	13570.0	10900.0	9275.0	7736.0	10542.0	10753.0	9390.0	10131.0	10091.0	96464.0	9779.0	89511.0	96731.0																																
2022-10-31	4872.0	15094.0	12074.0	4641.0	10851.0	71924.0	2467.0	2634.0	26928.0	8504.0	12560.0	26859.0	20667.0	93039.0	8164.0	10436.0	25845.0	9226.0	7981.0	23490.0	21306.0	14730.0	5688.0	1714.0	3279.0	10195.0	16533.0	20100.0	11447.0	6170.0	96520.0	15092.0	7291.0	14820.0	10050.0	11817.0	10595.0	36495.0	8310.0	14273.0	12270.0	19847.0	21385.0	11875.0	18063.0	3429.0	11529.0	82538.0	10249.0	51306.0	13353.0	4492.0	7234.0	12161.0	10723.0	11006.0	54474.0	9103.0	9810.0	10664.0	6635.0	9245.0	9611.0	10238.0	13125.0	10850.0	8733.0	7955.0	10771.0	10589.0	8500.0	10615.0	10356.0	95892.0	10072.0	88691.0	96289.0																																
2022-11-30	5466.0	15288.0	13903.0	5307.0	11557.0	66729.0	2728.0	2985.0	28363.0	8892.0	12941.0	26754.0	21502.0	97767.0	9054.0	10907.0	22920.0	10201.0	8951.0	22965.0	20269.0	14000.0	6168.0	2073.0	3737.0	10477.0	15740.0	19342.0	10735.0	6930.0	98604.0	16161.0	7753.0	14720.0	10790.0	11743.0	10935.0	39210.0	8780.0	14248.0	11544.0	20529.0	22108.0	11253.0	17309.0	3657.0	10675.0	83255.0	10601.0	51456.0	12593.0	5340.0	7368.0	11490.0	9967.0	11836.0	60044.0	9549.0	9454.0	9900.0	7052.0	8634.0	9660.0	9960.0	13080.0	10745.0	8509.0	7322.0	8945.0	9742.0	8220.0	9877.0	9506.0	98431.0	9995.0	91344.0	96836.0	9037.0	9871.0	9714.0	9654.0																												
2022-12-31	5316.0	14036.0	14341.0	5115.0	11876.0	59707.0	2410.0	2822.0	25040.0	8858.0	12378.0	26125.0	20577.0	97189.0	8695.0	10304.0	21630.0	10081.0	8866.0	21450.0	18979.0	12595.0	5641.0	2293.0	4088.0	9808.0	15476.0	18045.0	9799.0	7235.0	99830.0	15921.0	7644.0	13620.0	9925.0	10995.0	10902.0	36055.0	8610.0	13196.0	11046.0	16723.0	17856.0	10725.0	16080.0	3778.0	10288.0	78756.0	10147.0	51630.0	11563.0	5757.0	7253.0	10577.0	8910.0	10122.0	60259.0	8471.0	8003.0	8337.0	6322.0	8047.0	9148.0	9326.0	14015.0	10710.0	7493.0	7117.0	7902.0	7721.0	7980.0	9013.0	8502.0	98508.0	9453.0	91109.0	97998.0	8481.0	8667.0	9257.0	8961.0																												
2023-01-31	6031.0	15288.0	15299.0	5656.0	12532.0	64377.0	2747.0	2940.0	28183.0	8753.0	13198.0	25911.0	20849.0	100707.0	9519.0	11389.0	23410.0	10751.0	9496.0	21535.0	19351.0	12815.0	6016.0	2427.0	4291.0	10422.0	16767.0	18827.0	9993.0	7274.0	103017.0	16635.0	7668.0	15230.0	10825.0	12032.0	11755.0	39345.0	9110.0	14605.0	10966.0	19260.0	20468.0	10631.0	17342.0	3893.0	10040.0	81620.0	11015.0	51785.0	11949.0	6089.0	7780.0	10902.0	9610.0	10697.0	66085.0	9692.0	9221.0	9665.0	7194.0	8792.0	9129.0	9150.0	12655.0	10940.0	8658.0	7526.0	8247.0	8732.0	8945.0	9447.0	9197.0	100532.0	9842.0	93608.0	100290.0	8306.0	10316.0	9792.0	9908.0	10115.0																											
2023-02-28	5682.0	16309.0	14831.0	5808.0	11831.0	70270.0	2675.0	2891.0	28862.0	8244.0	13622.0	25139.0	20600.0	97461.0	9584.0	11120.0	23450.0	10456.0	8806.0	23330.0	19634.0	13130.0	5902.0	2357.0	4156.0	11665.0	16353.0	19904.0	10436.0	7042.0	101835.0	15561.0	7811.0	16365.0	10720.0	12042.0	11863.0	38975.0	8640.0	14804.0	11454.0	22564.0	22917.0	11095.0	18586.0	3897.0	10835.0	82808.0	10592.0	51925.0	12740.0	5707.0	7601.0	11644.0	10490.0	11675.0	62026.0	10696.0	9954.0	9446.0	7305.0	8673.0	9454.0	9698.0	12440.0	11010.0	8982.0	7536.0	9180.0	9319.0	8310.0	9961.0	9901.0	99371.0	10197.0	91560.0	100373.0	8795.0	11228.0	9753.0	10086.0	10001.0																											
2023-03-31	5278.0	16673.0	15274.0	5384.0	12881.0	74192.0	2926.0	2920.0	29768.0	8249.0	13871.0	25568.0	20868.0	101223.0	9127.0	10414.0	21200.0	10771.0	9051.0	22670.0	19316.0	12480.0	6044.0	2259.0	4098.0	12815.0	17061.0	19913.0	10541.0	6939.0	103845.0	15452.0	7643.0	16415.0	10985.0	11239.0	11863.0	39995.0	8980.0	15875.0	11574.0	28394.0	27395.0	11184.0	18728.0	3741.0	10682.0	83190.0	10105.0	52085.0	12759.0	6094.0	7219.0	11658.0	11091.0	13226.0	66037.0	11475.0	9840.0	9231.0	8029.0	8170.0	9380.0	9263.0	11580.0	11850.0	8798.0	8215.0	9040.0	8761.0	7995.0	10431.0	10715.0	102693.0	10277.0	93220.0	101904.0	8427.0	12236.0	9906.0	10833.0	10508.0	9391.0	9627.0	9858.0	9952.0	10122.0	8960.0																					
2023-04-30	5308.0	17176.0	15195.0	5451.0	12871.0	77357.0	3085.0	3191.0	29292.0	8405.0	14118.0	26879.0	22468.0	101404.0	8888.0	10654.0	22805.0	11006.0	8856.0	23095.0	20255.0	13195.0	6096.0	2162.0	3756.0	13244.0	17101.0	20952.0	11476.0	6827.0	104056.0	15437.0	7872.0	16520.0	11120.0	11099.0	11976.0	40460.0	9030.0	16039.0	11967.0	29983.0	28080.0	11534.0	19662.0	3717.0	11045.0	87691.0	10274.0	52225.0	13389.0	5732.0	7546.0	12236.0	11548.0	13600.0	65571.0	10976.0	9577.0	8956.0	7689.0	7909.0	9360.0	9465.0	11475.0	12205.0	8444.0	8415.0	8880.0	7960.0	7790.0	10695.0	10865.0	102995.0	10604.0	93761.0	102178.0	8577.0	11915.0	10086.0	10953.0	11631.0	9297.0	10336.0	10429.0	10475.0	10498.0	8989.0	9844.0	10127.0	8458.0			10130.0															
2023-05-31	5415.0	17717.0	13730.0	5728.0	12662.0	83461.0	3070.0	3301.0	31905.0	8387.0	14240.0	27827.0	22570.0	100368.0	8750.0	10415.0	24010.0	10581.0	8791.0	22570.0	19520.0	12015.0	6106.0	2093.0	3712.0	13348.0	17196.0	20726.0	11019.0	6341.0	103347.0	14223.0	7643.0	17195.0	11590.0	11104.0	10902.0	42125.0	8775.0	17418.0	11728.0	29725.0	28671.0	11302.0	19671.0	3975.0	10939.0	83165.0	9871.0	52370.0	13460.0	5182.0	6593.0	12319.0	12476.0	13310.0	61993.0	13192.0	10102.0	9101.0	8622.0	7307.0	9079.0	9132.0	10565.0	11975.0	8713.0	7930.0	9788.0	8438.0	7465.0	11738.0	12474.0	102161.0	10485.0	92864.0	101939.0	8295.0	14624.0	10208.0	11909.0	11558.0	9060.0	9576.0	9882.0	10146.0	10789.0	8768.0	9980.0	10058.0	8405.0	49427.0	49667.0	10040.0															
2023-06-30	5294.0	18221.0	14456.0	5521.0	12244.0	86923.0	3012.0	3779.0	32099.0	7919.0	14459.0	26380.0	23887.0	99190.0	8068.0	10897.0	23670.0	10891.0	9016.0	24470.0	19570.0	12440.0	6271.0	2176.0	3722.0	13482.0	17849.0	21600.0	10790.0	6028.0	102751.0	14643.0	7840.0	17880.0	11580.0	11857.0	10865.0	42210.0	8685.0	18177.0	11464.0	29885.0	27351.0	11021.0	20724.0	3898.0	10936.0	84208.0	10451.0	52544.0	14073.0	5647.0	6241.0	12873.0	13002.0	14052.0	60762.0	13360.0	10924.0	9521.0	9092.0	7396.0	8843.0	9427.0	10130.0	11630.0	9251.0	7416.0	9743.0	8687.0	7400.0	12143.0	12883.0	102195.0	10762.0	92571.0	102067.0	8547.0	14600.0	10705.0	12417.0	12666.0	9367.0	9713.0	10145.0	10494.0	11728.0	8697.0	10340.0	10043.0	8465.0	49599.0	49662.0	10035.0	9315.0	7868.0	990572.0	10002.0											
2023-07-31	5461.0	17745.0	15257.0	5474.0	12527.0	88243.0	3475.0	4006.0	31665.0	7864.0	13937.0	26674.0	24322.0	99144.0	8853.0	11194.0	23000.0	11336.0	9491.0	24535.0	19227.0	12840.0	6415.0	2157.0	3461.0	15800.0	18766.0	21721.0	10541.0	5977.0	103145.0	15477.0	8006.0	17505.0	11820.0	12441.0	11191.0	43055.0	8485.0	19026.0	11026.0	38038.0	33870.0	10656.0	20963.0	3725.0	10592.0	81437.0	10636.0	52694.0	14167.0	6436.0	6330.0	12951.0	13207.0	16041.0	61229.0	13803.0	11266.0	9471.0	9640.0	6943.0	8631.0	9546.0	9685.0	11485.0	9793.0	6917.0	9708.0	9041.0	7240.0	12437.0	13243.0	103240.0	10859.0	92835.0	102431.0	8662.0	14738.0	11107.0	13005.0	11831.0	9805.0	9689.0	10091.0	10752.0	11554.0	8501.0	10277.0	9754.0	8551.0	49767.0	48088.0	9725.0	9445.0	7868.0	993588.0	10002.0											
